Год,Этап,Команда,Противник,Общее количество очков,Общее количество подач,Ошибки при подаче,ЭЙС,Общее количество приемов,Ошибки при приемах,Эффективность приемов,Общее количество атак,Ошибки на атаках,Очки на атаке,Эффективность атак,Очки на блок,Количество выигранных сетов,Количество проигрышных сетов,Победитель,Проигравший
2021,Play Off,ЗЕНИТ,ФАКЕЛ,71,94,18,9,72,10,17%,93,5,50,62%,12,3,1,ЗЕНИТ,ФАКЕЛ
2021,Play Off,ФАКЕЛ,ДИНАМО,68,111,24,9,90,10,32%,106,12,51,48%,8,2,3,ДИНАМО,ФАКЕЛ
2021,Play Off,ЗЕНИТ,ДИНАМО,47,84,13,8,68,11,4%,81,7,31,48%,8,1,3,ДИНАМО,ЗЕНИТ
2021,Play Off,ЗЕНИТ-КАЗАНЬ,ЛОКОМОТИВ,75,113,20,7,85,8,18%,105,6,61,62%,7,2,3,ЛОКОМОТИВ,ЗЕНИТ-КАЗАНЬ
2021,Play Off,КУЗБАСС,ЗЕНИТ-КАЗАНЬ,75,105,23,12,75,6,15%,103,5,53,53%,10,3,2,КУЗБАСС,ЗЕНИТ-КАЗАНЬ
2021,Play Off,ЛОКОМОТИВ,КУЗБАСС,62,94,28,6,77,5,22%,91,7,45,50%,11,1,3,КУЗБАСС,ЛОКОМОТИВ
2021,Play Off,КУЗБАСС,ЛОКОМОТИВ,57,84,11,7,80,6,11%,103,10,43,42%,7,1,3,ЛОКОМОТИВ,КУЗБАСС
2021,Play Off,ДИНАМО,ЛОКОМОТИВ,68,90,15,5,61,5,10%,96,4,49,51%,14,3,1,ДИНАМО,ЛОКОМОТИВ
2021,Play Off,КУЗБАСС,ЗЕНИТ,64,108,18,11,81,14,10%,106,9,45,42%,8,2,3,ЗЕНИТ,КУЗБАСС
2021,Play Off,ФАКЕЛ,ЗЕНИТ-КАЗАНЬ,56,81,15,6,77,10,13%,90,3,43,48%,7,1,3,ЗЕНИТ-КАЗАНЬ,ФАКЕЛ
2021,Play Off,ЗЕНИТ,ДИНАМО,57,89,19,8,74,15,11%,82,8,36,44%,13,1,3,ДИНАМО,ЗЕНИТ
2021,Play Off,ДИНАМО,ФАКЕЛ,81,117,27,10,87,9,26%,109,13,60,55%,11,3,2,ДИНАМО,ФАКЕЛ
2021,Play Off,ФАКЕЛ,ЗЕНИТ,60,85,13,10,76,9,13%,103,11,44,48%,6,1,3,ЗЕНИТ,ФАКЕЛ
2021,Play Off,ДИНАМО,ЗЕНИТ,75,94,26,11,71,8,10%,103,8,57,51%,7,3,1,ДИНАМО,ЗЕНИТ
2021,Play Off,ЛОКОМОТИВ,ЗЕНИТ-КАЗАНЬ,84,110,25,8,93,7,13%,118,10,69,60%,7,3,2,ЛОКОМОТИВ,ЗЕНИТ-КАЗАНЬ
2021,Play Off,ЗЕНИТ-КАЗАНЬ,КУЗБАСС,69,99,24,6,82,12,21%,95,6,51,56%,12,2,3,КУЗБАСС,ЗЕНИТ-КАЗАНЬ
2021,Play Off,КУЗБАСС,ЛОКОМОТИВ,62,99,22,5,66,6,18%,98,9,50,54%,7,3,1,КУЗБАСС,ЛОКОМОТИВ
2021,Play Off,ЛОКОМОТИВ,КУЗБАСС,77,98,18,6,73,7,18%,107,8,59,55%,12,3,1,ЛОКОМОТИВ,КУЗБАСС
2021,Play Off,ЛОКОМОТИВ,ДИНАМО,58,79,18,5,75,5,12%,105,3,45,43%,8,1,3,ДИНАМО,ЛОКОМОТИВ
2021,Play Off,ЗЕНИТ,КУЗБАСС,84,112,31,14,90,11,16%,124,12,59,48%,11,3,2,ЗЕНИТ,КУЗБАСС
2021,Play Off,ЗЕНИТ-КАЗАНЬ,ФАКЕЛ,77,97,20,10,66,6,12%,100,3,57,57%,10,3,1,ЗЕНИТ-КАЗАНЬ,ФАКЕЛ
2021,Play Off,ДИНАМО,ЗЕНИТ,70,98,24,15,70,8,11%,89,6,45,51%,10,3,1,ДИНАМО,ЗЕНИТ
2021,Play Out,НЕФТЯНИК,ДИНАМО ЛО,44,64,20,4,62,4,34%,74,10,34,46%,6,0,3,ДИНАМО ЛО,НЕФТЯНИК
2021,Play Out,ЮГРА,БЕЛОГОРЬЕ,55,74,18,3,45,0,31%,87,2,46,53%,6,3,0,ЮГРА,БЕЛОГОРЬЕ
2021,Play Out,БЕЛОГОРЬЕ,ДИНАМО ЛО,68,91,23,9,81,6,33%,114,8,49,43%,10,1,3,ДИНАМО ЛО,БЕЛОГОРЬЕ
2021,Play Out,ЮГРА,НЕФТЯНИК,57,84,10,7,75,6,25%,104,8,41,39%,9,1,3,НЕФТЯНИК,ЮГРА
